Y	M	D	H	Rain	Temp
0	0	20	9	0	21.55
0	0	20	10	0	24.25
0	0	20	11	0	25.9
0	0	20	12	0	27.3
0	0	20	13	0	28.8
0	0	20	14	0	28.65
0	0	20	15	0	28.9
0	0	20	16	0	27.85
0	0	20	17	0	25.7
0	0	20	18	0	20.05
0	0	20	19	0	13.35
0	0	20	20	0	9.95
0	0	20	21	0	10.05
0	0	20	22	0	10.15
0	0	20	23	0	7.45
0	0	21	0	0	8.85
0	0	21	1	0	6.15
0	0	21	2	0	5.6
0	0	21	3	0	4.1
0	0	21	4	0	4.8
0	0	21	5	0	13.55
0	0	21	6	0	11.9
0	0	21	7	0	13.6
0	0	21	8	0	17.95
0	0	21	9	0	19.9
0	0	21	10	0	21.9
0	0	21	11	0	23.85
0	0	21	12	0	25.7
0	0	21	13	0	26.95
0	0	21	14	0	28.3
0	0	21	15	0	28.45
0	0	21	16	0	27.85
0	0	21	17	0	25.3
0	0	21	18	0	17
0	0	21	19	0	12.3
0	0	21	20	0	10.35
0	0	21	21	0	10.05
0	0	21	22	0	8.65
0	0	21	23	0	9.1
0	0	22	0	0	7.85
0	0	22	1	0	5.4
0	0	22	2	0	6.75
0	0	22	3	0	5.5
0	0	22	4	0	6.35
0	0	22	5	0	5.65
0	0	22	6	0	5.05
0	0	22	7	0	8.15
0	0	22	8	0	17.35
0	0	22	9	0	21.6
0	0	22	10	0	23.85
0	0	22	11	0	25.25
0	0	22	12	0	26.9
0	0	22	13	0	29.05
0	0	22	14	0	29.3
0	0	22	15	0	29.45
0	0	22	16	0	28.1
0	0	22	17	0	25.35
0	0	22	18	0	18.1
0	0	22	19	0	16.9
0	0	22	20	0	14.6
0	0	22	21	0	13.8
0	0	22	22	0	12.35
0	0	22	23	0	12.7
0	0	23	0	0	11.7
0	0	23	1	0	9.7
0	0	23	2	0	8.8
0	0	23	3	0	8.6
0	0	23	4	0	8.3
0	0	23	5	0	7.9
0	0	23	6	0	7.25
0	0	23	7	0	9.95
0	0	23	8	0	17.45
0	0	23	9	0	24.15
0	0	23	10	0	25.35
0	0	23	11	0	25.15
0	0	23	12	0	27.35
